factory_id,process_id,equipment_id,equipment_name,material,so,gop,qty,total_cycle_avg,total_cycle_max,total_cycle_min,spindle_cycle_avg,spindle_cycle_max,spindle_cycle_min,idle_cycle_avg,idle_cycle_max,idle_cycle_min,start_time,stop_time,total_runtime
23,49,115,DMC60T#3,182A5704-3,D200599050,30,10,0.718,1.501,0.628,0.635,0.693,0.628,0.083,0.808,0.0,2022-04-11 13:33:57,2022-04-11 23:27:13,9.888
23,49,115,DMC60T#3,182A5703-4,D200599780,30,10,0.959,1.567,0.819,0.814,0.929,0.753,0.145,0.813,0.007,2022-04-08 20:04:45,2022-04-11 13:25:43,65.349
21,84,48,DMU 50 3rd Generation #2,315A6156-74,Y200160810,60,39,0.848,0.867,0.747,0.832,0.845,0.693,0.016,0.056,0.006,2022-04-07 20:16:25,2022-04-12 05:58:13,105.697
21,47,111,ECOSPEED F1040 #2,V5725352020400,D200593300,30,1,3.301,3.301,3.301,2.234,2.234,2.234,1.067,1.067,1.067,2022-04-11 09:57:51,2022-04-11 13:34:16,3.607
21,47,111,ECOSPEED F1040 #2,V5725352020400,D200600290,20,1,1.187,1.187,1.187,1.135,1.135,1.135,0.052,0.052,0.052,2022-04-11 13:34:25,2022-04-11 14:48:48,1.24
21,47,111,ECOSPEED F1040 #2,V5725352020400,D200600290,30,1,2.795,2.795,2.795,2.223,2.223,2.223,0.572,0.572,0.572,2022-04-11 16:35:40,2022-04-11 19:37:21,3.028
21,47,111,ECOSPEED F1040 #2,V5725352020400,D200600300,20,1,1.188,1.188,1.188,1.173,1.173,1.173,0.016,0.016,0.016,2022-04-11 15:11:52,2022-04-11 16:35:29,1.394
21,47,111,ECOSPEED F1040 #2,V5725352120800,D200600510,10,1,0.881,0.881,0.881,0.808,0.808,0.808,0.073,0.073,0.073,2022-04-11 08:54:52,2022-04-11 09:57:40,1.047
21,84,107,EVER 7,30P171700105-001A-K,D200574970,40,2,3.407,3.606,3.209,3.374,3.606,3.143,0.033,0.066,0.0,2022-04-11 15:35:59,2022-04-12 01:57:23,10.357
21,84,107,EVER 7,30P171700105-001A-K,D200574910,40,1,3.11,3.11,3.11,3.11,3.11,3.11,0.0,0.0,0.0,2022-04-11 08:58:09,2022-04-11 15:35:43,6.626
