factory_id,process_id,equipment_id,equipment_name,material,so,gop,qty,total_cycle_avg,total_cycle_max,total_cycle_min,spindle_cycle_avg,spindle_cycle_max,spindle_cycle_min,idle_cycle_avg,idle_cycle_max,idle_cycle_min,start_time,stop_time,total_runtime
23,49,114,MP2150,F5724403320001,D200601900,20,1,14.483,14.483,14.483,2.232,2.232,2.232,12.251,12.251,12.251,2022-04-14 05:37:32,2022-04-14 21:16:41,15.652
23,49,114,MP2150,F5724403320001,D200601910,20,1,3.851,3.851,3.851,2.35,2.35,2.35,1.5,1.5,1.5,2022-04-14 21:17:04,2022-04-15 01:28:26,4.189
23,49,114,MP2150,F5724403320001,D200601920,20,1,3.698,3.698,3.698,2.546,2.546,2.546,1.151,1.151,1.151,2022-04-15 01:28:49,2022-04-15 05:51:13,4.373
23,49,116,MYNX500#1,85W4850-005,D200595020,30,5,0.049,0.051,0.047,0.049,0.051,0.047,0.0,0.0,0.0,2022-04-14 08:26:01,2022-04-14 11:54:23,3.473
24,50,103,SB-416,D572-57845-203,D200590590,10,10,0.22,0.269,0.214,0.181,0.187,0.176,0.039,0.085,0.028,2022-04-14 08:59:45,2022-04-14 13:10:15,4.175
24,50,103,SB-416,D572-57845-203,D200590720,10,10,0.22,0.269,0.214,0.181,0.187,0.176,0.039,0.085,0.028,2022-04-14 08:59:45,2022-04-14 13:10:15,4.175
24,50,103,SB-416,D572-57845-203,D200590790,10,10,0.22,0.269,0.214,0.181,0.187,0.176,0.039,0.085,0.028,2022-04-14 08:59:45,2022-04-14 13:10:15,4.175
24,50,103,SB-416,D572-57845-203,D200590830,10,10,0.22,0.269,0.214,0.181,0.187,0.176,0.039,0.085,0.028,2022-04-14 08:59:45,2022-04-14 13:10:15,4.175
24,50,103,SB-416,D572-57845-203,D200590960,10,5,0.215,0.216,0.213,0.183,0.193,0.174,0.032,0.039,0.022,2022-04-14 13:10:38,2022-04-14 14:57:12,1.776
24,50,103,SB-416,D572-57845-203,D200590980,10,5,0.215,0.216,0.213,0.183,0.193,0.174,0.032,0.039,0.022,2022-04-14 13:10:38,2022-04-14 14:57:12,1.776
24,50,103,SB-416,D572-57845-203,D200591070,10,5,0.215,0.216,0.213,0.183,0.193,0.174,0.032,0.039,0.022,2022-04-14 13:10:38,2022-04-14 14:57:12,1.776
24,50,103,SB-416,D572-57845-203,D200615440,10,5,0.215,0.216,0.213,0.183,0.193,0.174,0.032,0.039,0.022,2022-04-14 13:10:38,2022-04-14 14:57:12,1.776
24,50,103,SB-416,D572-57849-202,D200589020,20,1,0.685,0.685,0.685,0.518,0.518,0.518,0.167,0.167,0.167,2022-04-15 06:04:31,2022-04-15 06:57:13,0.878
24,50,103,SB-416,D572-57849-203,D200572320,20,1,1.118,1.118,1.118,0.536,0.536,0.536,0.582,0.582,0.582,2022-04-15 04:43:51,2022-04-15 06:04:23,1.342
24,50,103,SB-416,D572-57845-203,D200590680,10,10,0.22,0.269,0.214,0.181,0.187,0.176,0.039,0.085,0.028,2022-04-14 08:59:45,2022-04-14 13:10:15,4.175
24,50,103,SB-416,D572-57849-203,D200572330,20,1,0.617,0.617,0.617,0.514,0.514,0.514,0.103,0.103,0.103,2022-04-15 03:48:49,2022-04-15 04:43:43,0.915
24,50,103,SB-416,D572-57849-203,D200588710,20,1,0.65,0.65,0.65,0.524,0.524,0.524,0.126,0.126,0.126,2022-04-15 03:01:57,2022-04-15 03:48:41,0.779
24,50,103,SB-416,D572-57849-203,D200588810,20,1,1.574,1.574,1.574,0.5,0.5,0.5,1.074,1.074,1.074,2022-04-14 23:43:07,2022-04-15 01:24:34,1.691
24,50,103,SB-416,D572-57849-203,D200588830,20,1,0.609,0.609,0.609,0.528,0.528,0.528,0.081,0.081,0.081,2022-04-15 01:24:41,2022-04-15 02:08:23,0.728
24,50,103,SB-416,D572-57849-203,D200588860,20,1,1.005,1.005,1.005,0.535,0.535,0.535,0.47,0.47,0.47,2022-04-14 21:49:54,2022-04-14 22:57:18,1.123
24,50,103,SB-416,D572-57849-203,D200588880,20,1,0.617,0.617,0.617,0.526,0.526,0.526,0.091,0.091,0.091,2022-04-14 22:57:27,2022-04-14 23:43:00,0.759
