factory_id,process_id,equipment_id,equipment_name,material,so,gop,qty,cycle_number,start_time,stop_time,spindle,idle_inter,total
24,50,103,SB-416,D572-40292-203,D200615860,20,1,1,2022-04-25 09:14:18.195000,2022-04-25 09:54:24.481171,0.534,0.134,0.668
24,50,103,SB-416,D572-40292-203,D200615850,20,1,1,2022-04-25 10:21:04.568036,2022-04-25 10:54:54.675010,0.526,0.038,0.564
24,50,103,SB-416,D572-40292-203,D200615840,20,1,1,2022-04-25 11:05:42.737607,2022-04-25 11:40:04.855370,0.53,0.043,0.573
24,50,103,SB-416,D572-40292-203,D200615830,20,1,1,2022-04-25 11:55:02.894812,2022-04-25 12:28:49.033016,0.518,0.045,0.563
24,50,103,SB-416,D572-40292-203,D200615820,20,1,1,2022-04-25 13:17:39.240198,2022-04-25 13:51:57.356571,0.519,0.052,0.572
24,50,103,SB-416,D572-40297-203,D200614310,20,1,1,2022-04-25 14:20:17.478173,2022-04-25 15:02:29.629718,0.55,0.153,0.703
24,50,103,SB-416,D572-40297-203,D200614300,20,1,1,2022-04-25 15:23:09.702000,2022-04-25 16:01:11.752819,0.549,0.085,0.634
24,50,103,SB-416,D572-40297-203,D200614240,20,1,1,2022-04-25 16:14:19.886000,2022-04-25 16:47:31.793000,0.495,0.058,0.553
24,50,103,SB-416,D572-40297-203,D200614290,20,1,1,2022-04-25 16:56:57.851646,2022-04-25 17:44:22.257270,0.513,0.277,0.79
24,50,103,SB-416,D572-40297-203,D200589230,20,1,1,2022-04-25 20:31:58.902780,2022-04-25 21:19:09.089893,0.482,0.304,0.786
24,50,103,SB-416,D572-40297-203,D200614250,20,1,1,2022-04-25 21:28:08.905989,2022-04-25 22:04:47.275953,0.475,0.136,0.611
24,50,103,SB-416,D572-40297-203,D200614280,20,1,1,2022-04-25 23:20:23.551335,2022-04-26 01:14:35.880554,0.465,1.438,1.903
24,50,103,SB-416,D572-40297-203,D200614270,20,1,1,2022-04-26 01:26:00.048765,2022-04-26 02:05:26.179772,0.515,0.142,0.657
24,50,103,SB-416,D572-40298-201,D200584660,20,1,1,2022-04-26 02:22:50.036198,2022-04-26 02:58:36.370178,0.457,0.139,0.596
24,50,103,SB-416,D572-40298-201,D200584630,20,1,1,2022-04-26 03:29:40.477000,2022-04-26 04:01:10.598000,0.439,0.086,0.525
24,50,103,SB-416,D572-40298-201,D200584650,20,1,1,2022-04-26 04:08:22.442819,2022-04-26 04:40:34.790770,0.446,0.091,0.537
24,50,103,SB-416,D572-40298-201,D200584640,20,1,1,2022-04-26 04:48:16.814200,2022-04-26 05:40:55.005555,0.414,0.463,0.877
24,50,103,SB-416,D572-40298-201,D200584610,20,1,1,2022-04-26 05:49:14.895000,2022-04-26 06:26:13.186579,0.462,0.154,0.616
24,50,103,SB-416,D572-40298-201,D200584620,20,1,1,2022-04-26 06:34:01.175000,2022-04-26 07:06:27.332375,0.454,0.086,0.541
24,50,103,SB-416,D572-40297-203,D200589220,20,1,1,2022-04-25 22:33:23.374980,2022-04-25 23:07:57.504770,0.474,0.102,0.576
21,47,108,SNK RB-200F(2060),182T5202-1A,D200583510,30,1,1,2022-04-25 08:50:45.267000,2022-04-25 16:23:56.297000,5.987,1.566,7.553
