factory_id,process_id,equipment_id,equipment_name,material,routing_revision,so,gop,qty,cycle_number,start_time,stop_time,spindle,idle_inter,total
24,50,102,CMI 3S #8,162D612313-2004,A,D200598770,20,1,1,2022-04-28 22:22:30.154000,2022-04-29 02:27:36.782791,1.816,2.269,4.085
24,50,102,CMI 3S #8,162D612313-2004,A,D200598780,20,1,1,2022-04-28 22:22:30.154000,2022-04-29 02:27:36.782791,1.816,2.269,4.085
23,49,115,DMC60T#3,182A5701-3,A,D200616840,30,10,1,2022-04-27 21:37:15.910987,2022-04-27 22:45:59.711525,0.863,0.282,1.146
23,49,115,DMC60T#3,182A5701-3,A,D200616840,30,10,2,2022-04-27 22:59:51.881517,2022-04-27 23:49:49.128710,0.833,0.0,0.833
23,49,115,DMC60T#3,182A5701-3,A,D200616840,30,10,3,2022-04-28 01:08:26.543000,2022-04-28 01:58:20.806000,0.832,0.0,0.832
23,49,115,DMC60T#3,182A5701-3,A,D200616840,30,10,4,2022-04-28 02:02:20.199907,2022-04-28 02:52:26.561000,0.835,0.0,0.835
23,49,115,DMC60T#3,182A5701-3,A,D200616840,30,10,5,2022-04-28 02:56:28.440733,2022-04-28 03:46:22.617151,0.832,0.0,0.832
23,49,115,DMC60T#3,182A5701-3,A,D200616840,30,10,6,2022-04-28 04:00:46.598060,2022-04-28 04:50:38.743000,0.831,0.0,0.831
23,49,115,DMC60T#3,182A5701-3,A,D200616840,30,10,7,2022-04-28 04:59:31.447650,2022-04-28 05:49:35.127000,0.834,0.0,0.834
23,49,115,DMC60T#3,182A5701-3,A,D200616840,30,10,8,2022-04-28 06:22:14.434134,2022-04-28 07:12:10.926000,0.832,0.0,0.832
23,49,115,DMC60T#3,182A5701-3,A,D200616840,30,10,9,2022-04-28 07:41:47.064000,2022-04-28 08:31:46.614078,0.833,0.0,0.833
23,49,115,DMC60T#3,182A5701-3,A,D200616840,30,10,10,2022-04-28 08:41:12.313654,2022-04-28 09:31:11.225000,0.833,0.0,0.833
23,49,115,DMC60T#3,182A5701-4,A,D200616850,30,10,1,2022-04-28 13:08:06.777335,2022-04-28 14:19:15.400439,0.915,0.27,1.186
23,49,115,DMC60T#3,182A5701-4,A,D200616850,30,10,2,2022-04-28 14:30:17.379262,2022-04-28 15:21:27.642000,0.853,0.0,0.853
23,49,115,DMC60T#3,182A5701-4,A,D200616850,30,10,3,2022-04-28 15:34:10.016000,2022-04-28 16:25:20.032548,0.853,0.0,0.853
23,49,115,DMC60T#3,182A5701-4,A,D200616850,30,10,4,2022-04-28 17:35:07.916000,2022-04-28 18:26:13.514899,0.852,0.0,0.852
23,49,115,DMC60T#3,182A5701-4,A,D200616850,30,10,5,2022-04-28 18:33:16.119000,2022-04-28 19:24:13.525608,0.849,0.0,0.849
23,49,115,DMC60T#3,182A5701-4,A,D200616850,30,10,6,2022-04-28 20:07:12.159000,2022-04-28 20:58:04.597851,0.848,0.0,0.848
23,49,115,DMC60T#3,182A5701-4,A,D200616850,30,10,7,2022-04-28 21:08:02.663304,2022-04-28 21:59:02.306000,0.85,0.0,0.85
23,49,115,DMC60T#3,182A5701-4,A,D200616850,30,10,8,2022-04-28 22:20:26.825668,2022-04-28 23:11:36.908849,0.853,0.0,0.853
23,49,115,DMC60T#3,182A5701-4,A,D200616850,30,10,9,2022-04-28 23:20:50.735000,2022-04-29 00:11:46.883245,0.849,0.0,0.849
23,49,115,DMC60T#3,182A5701-4,A,D200616850,30,10,10,2022-04-29 01:07:02.776000,2022-04-29 01:58:04.841000,0.851,0.0,0.851
21,84,48,DMU 50 3rd Generation #2,114A7322-603,A,Y200159030,50,19,1,2022-04-27 22:45:18.652000,2022-04-27 23:31:22.949000,0.522,0.246,0.768
21,84,48,DMU 50 3rd Generation #2,114A7322-603,A,Y200159030,50,19,2,2022-04-27 23:38:20.854000,2022-04-28 02:13:52.815000,0.537,2.056,2.592
21,84,48,DMU 50 3rd Generation #2,114A7322-603,A,Y200159030,50,19,3,2022-04-28 02:18:23.281000,2022-04-28 03:05:17.263000,0.541,0.241,0.782
21,84,48,DMU 50 3rd Generation #2,114A7322-603,A,Y200159030,50,19,4,2022-04-28 03:10:01.064000,2022-04-28 03:45:47.341000,0.543,0.053,0.596
21,84,48,DMU 50 3rd Generation #2,114A7322-603,A,Y200159030,50,19,5,2022-04-28 03:52:29.466000,2022-04-28 04:30:33.531000,0.542,0.093,0.634
21,84,48,DMU 50 3rd Generation #2,114A7322-603,A,Y200159030,50,19,6,2022-04-28 04:38:31.453000,2022-04-28 05:14:21.641000,0.542,0.055,0.597
21,84,48,DMU 50 3rd Generation #2,114A7322-603,A,Y200159030,50,19,7,2022-04-28 05:21:09.644000,2022-04-28 05:57:59.714000,0.542,0.072,0.614
21,84,48,DMU 50 3rd Generation #2,114A7322-603,A,Y200159030,50,19,8,2022-04-28 06:06:13.733000,2022-04-28 06:41:37.588000,0.543,0.047,0.59
21,84,48,DMU 50 3rd Generation #2,114A7322-603,A,Y200159030,50,19,9,2022-04-28 06:48:45.708000,2022-04-28 07:27:39.769000,0.553,0.096,0.648
21,84,48,DMU 50 3rd Generation #2,114A7322-603,A,Y200159030,50,19,10,2022-04-28 07:31:37.660000,2022-04-28 08:09:27.633000,0.544,0.087,0.631
21,84,48,DMU 50 3rd Generation #2,114A7322-603,A,Y200159030,50,19,11,2022-04-28 08:14:33.954000,2022-04-28 08:54:51.924000,0.545,0.126,0.672
21,84,48,DMU 50 3rd Generation #2,114A7322-603,A,Y200159030,50,19,12,2022-04-28 09:01:11.948000,2022-04-28 09:42:52.017000,0.547,0.147,0.694
21,84,48,DMU 50 3rd Generation #2,114A7322-603,A,Y200159030,50,19,13,2022-04-28 09:51:36.144000,2022-04-28 10:30:30.222000,0.547,0.101,0.648
21,84,48,DMU 50 3rd Generation #2,114A7322-603,A,Y200159030,50,19,14,2022-04-28 10:35:48.226000,2022-04-28 11:12:02.194000,0.542,0.062,0.604
