factory_id,process_id,equipment_id,equipment_name,material,routing_revision,so,gop,qty,total_cycle_avg,total_cycle_max,total_cycle_min,spindle_cycle_avg,spindle_cycle_max,spindle_cycle_min,idle_cycle_avg,idle_cycle_max,idle_cycle_min,start_time,stop_time,total_runtime
24,50,102,CMI 3S #8,162D612313-2004,A,D200598780,20,1,4.085,4.085,4.085,1.816,1.816,1.816,2.269,2.269,2.269,2022-04-28 21:26:36,2022-04-29 02:27:39,5.018
24,50,102,CMI 3S #8,162D612313-2004,A,D200598770,20,1,4.085,4.085,4.085,1.816,1.816,1.816,2.269,2.269,2.269,2022-04-28 21:26:36,2022-04-29 02:27:39,5.018
23,49,115,DMC60T#3,182A5701-3,A,D200616840,30,10,0.864,1.146,0.831,0.836,0.863,0.831,0.028,0.282,0.0,2022-04-27 21:39:14,2022-04-28 11:54:08,14.248
23,49,115,DMC60T#3,182A5701-4,A,D200616850,30,10,0.884,1.186,0.848,0.857,0.915,0.848,0.027,0.27,0.0,2022-04-28 11:55:01,2022-04-29 03:30:38,15.594
21,84,48,DMU 50 3rd Generation #2,114A7322-603,A,Y200159030,50,19,0.763,2.592,0.59,0.543,0.558,0.522,0.22,2.056,0.047,2022-04-27 21:18:57,2022-04-28 18:22:49,21.064
21,84,48,DMU 50 3rd Generation #2,114A7322-604,A,Y200159040,50,11,0.82,1.853,0.59,0.55,0.556,0.547,0.27,1.303,0.04,2022-04-28 18:23:21,2022-04-29 05:42:37,11.321
21,47,111,ECOSPEED F1040 #2,V5725351820200,A,D200623550,20,1,1.428,1.428,1.428,1.204,1.204,1.204,0.223,0.223,0.223,2022-04-28 09:01:15,2022-04-28 10:30:08,1.481
21,47,111,ECOSPEED F1040 #2,V5725351820200,A,D200623550,30,1,3.734,3.734,3.734,2.849,2.849,2.849,0.886,0.886,0.886,2022-04-28 15:31:28,2022-04-28 19:21:06,3.827
21,47,111,ECOSPEED F1040 #2,V5725352220400,A,D200624030,20,1,0.687,0.687,0.687,0.663,0.663,0.663,0.023,0.023,0.023,2022-04-28 14:20:14,2022-04-28 15:29:27,1.154
21,47,111,ECOSPEED F1040 #2,V5725352220600,A,D200624010,20,1,0.696,0.696,0.696,0.639,0.639,0.639,0.057,0.057,0.057,2022-04-28 11:45:20,2022-04-28 13:07:16,1.366
21,47,111,ECOSPEED F1040 #2,V5725352220600,A,D200624020,20,1,0.697,0.697,0.697,0.663,0.663,0.663,0.034,0.034,0.034,2022-04-28 13:19:47,2022-04-28 14:08:25,0.811
21,47,111,ECOSPEED F1040 #2,V5725352620100,A,D200623210,20,1,0.553,0.553,0.553,0.506,0.506,0.506,0.047,0.047,0.047,2022-04-28 10:45:58,2022-04-28 11:32:24,0.774
21,47,111,ECOSPEED F1040 #2,V5725352620100,A,D200623220,20,1,0.553,0.553,0.553,0.544,0.544,0.544,0.009,0.009,0.009,2022-04-28 08:07:03,2022-04-28 08:43:38,0.61
21,47,109,G3020 #1,30P176201200-002A,-,D200575480,20,2,0.539,0.557,0.521,0.332,0.334,0.331,0.207,0.223,0.19,2022-04-29 03:42:31,2022-04-29 05:19:45,1.621
21,47,109,G3020 #1,RD00103161-1,-,Y200165170,50,6,0.38,0.609,0.289,0.322,0.416,0.278,0.058,0.308,0.006,2022-04-28 13:52:16,2022-04-28 19:27:19,5.584
21,47,109,G3020 #1,RD00103161-2,-,Y200165180,50,7,0.292,0.359,0.208,0.274,0.291,0.2,0.018,0.076,0.003,2022-04-28 19:59:44,2022-04-29 02:41:15,6.692
21,47,109,G3020 #1,RD00103161-2,-,Y200165180,40,6,4.636,4.947,4.371,3.136,3.381,2.626,1.499,2.321,1.183,2022-04-27 06:30:17,2022-04-28 13:19:16,30.816
23,49,167,H5-800,181A3402-3,-,Y200179730,40,3,2.482,2.758,2.156,2.007,2.051,1.95,0.476,0.809,0.105,2022-04-28 06:22:01,2022-04-28 13:49:08,7.452
23,49,118,HU80A-5X,V5725305020600,A,D200594990,30,1,18.695,18.695,18.695,15.225,15.225,15.225,3.47,3.47,3.47,2022-04-27 09:40:03,2022-04-28 09:08:07,23.468
23,49,117,KT MODU LINE #3,182A1507-753,A,D200595780,40,6,7.861,11.418,6.645,5.71,5.901,5.589,2.151,5.829,0.953,2022-04-26 23:21:34,2022-04-29 05:26:37,54.084
24,50,104,MC18200 #1,182T3101-6A,B,D200617020,20,1,2.582,2.582,2.582,2.053,2.053,2.053,0.529,0.529,0.529,2022-04-28 08:27:41,2022-04-28 14:23:37,5.932
24,50,104,MC18200 #1,182T3101-6A,B,D200617020,30,4,1.682,1.948,1.564,1.381,1.385,1.378,0.302,0.563,0.186,2022-04-28 14:24:03,2022-04-28 22:55:56,8.531
23,49,114,MP2150,F5724403320101,A,D200601990,10,1,1.079,1.079,1.079,0.26,0.26,0.26,0.819,0.819,0.819,2022-04-28 21:21:22,2022-04-28 23:23:43,2.039
23,49,114,MP2150,F5724403320101,A,D200602000,10,1,0.423,0.423,0.423,0.269,0.269,0.269,0.154,0.154,0.154,2022-04-28 23:23:56,2022-04-29 00:54:14,1.505
23,49,114,MP2150,F5724403320101,A,D200602010,10,1,0.413,0.413,0.413,0.256,0.256,0.256,0.157,0.157,0.157,2022-04-29 00:54:27,2022-04-29 01:28:13,0.563
23,49,114,MP2150,F5724407420001,A,D200604320,10,1,0.436,0.436,0.436,0.274,0.274,0.274,0.162,0.162,0.162,2022-04-29 01:28:28,2022-04-29 02:35:45,1.121
