factory_id,process_id,equipment_id,equipment_name,material,routing_revision,so,gop,qty,total_cycle_avg,total_cycle_max,total_cycle_min,spindle_cycle_avg,spindle_cycle_max,spindle_cycle_min,idle_cycle_avg,idle_cycle_max,idle_cycle_min,cycle,start_time,stop_time,total_runtime
24,50,102,CMI 3S #8,162D612313-2004,A,D200598770,30,1,4.54,4.54,4.54,3.693,3.693,3.693,0.846,0.846,0.846,1,2022-04-30 01:58:55,2022-04-30 06:13:59,4.251
24,50,102,CMI 3S #8,162D612313-2004,A,D200598780,30,1,4.54,4.54,4.54,3.693,3.693,3.693,0.846,0.846,0.846,1,2022-04-30 01:58:55,2022-04-30 06:13:59,4.251
24,50,102,CMI 3S #8,162D612313-2004,A,D200598790,20,1,5.997,5.997,5.997,2.369,2.369,2.369,3.628,3.628,3.628,1,2022-04-29 03:48:45,2022-04-29 10:29:46,6.684
24,50,102,CMI 3S #8,162D612313-2004,A,D200598800,20,1,5.997,5.997,5.997,2.369,2.369,2.369,3.628,3.628,3.628,1,2022-04-29 03:48:45,2022-04-29 10:29:46,6.684
24,50,102,CMI 3S #8,162D612313-2004,A,D200598810,20,1,3.752,3.752,3.752,1.555,1.555,1.555,2.197,2.197,2.197,1,2022-04-29 10:56:32,2022-04-29 15:22:02,4.425
23,49,115,DMC60T#3,182A5605-3,A,D200606880,30,10,0.932,1.022,0.921,0.924,0.946,0.921,0.008,0.077,0.0,10,2022-04-29 03:31:26,2022-04-29 16:45:58,13.242
21,84,48,DMU 50 3rd Generation #2,113A3714-601B,-,Y200163470,40,30,0.598,1.431,0.527,0.518,0.525,0.482,0.08,0.914,0.002,29,2022-04-29 07:18:29,2022-04-30 04:32:46,21.238
21,47,111,ECOSPEED F1040 #2,V5725352220400,A,D200624040,20,1,0.682,0.682,0.682,0.645,0.645,0.645,0.038,0.038,0.038,1,2022-04-29 09:16:44,2022-04-29 10:33:13,1.275
21,47,111,ECOSPEED F1040 #2,V5725416720200,A,D200600440,20,1,1.235,1.235,1.235,1.198,1.198,1.198,0.037,0.037,0.037,1,2022-04-29 14:48:27,2022-04-29 16:11:05,1.377
21,47,111,ECOSPEED F1040 #2,V5725351820200,A,D200623540,30,1,3.107,3.107,3.107,2.646,2.646,2.646,0.461,0.461,0.461,1,2022-04-29 16:11:16,2022-04-29 19:23:13,3.199
21,47,111,ECOSPEED F1040 #2,V5725351820200,A,D200623540,20,1,1.157,1.157,1.157,1.125,1.125,1.125,0.032,0.032,0.032,1,2022-04-29 10:57:20,2022-04-29 13:04:00,2.111
21,47,111,ECOSPEED F1040 #2,V5725351820200,A,D200623530,20,1,1.165,1.165,1.165,1.135,1.135,1.135,0.03,0.03,0.03,1,2022-04-29 13:22:07,2022-04-29 14:36:51,1.246
21,47,111,ECOSPEED F1040 #2,V5725352220400,A,D200623990,20,1,0.687,0.687,0.687,0.663,0.663,0.663,0.025,0.025,0.025,1,2022-04-29 08:16:06,2022-04-29 09:05:27,0.822
21,84,107,EVER 7,30P171610107-002A-K,A,D200595380,20,2,23.257,26.713,19.8,15.168,15.227,15.11,8.088,11.604,4.573,2,2022-04-27 10:40:41,2022-04-29 09:54:08,47.224
21,47,109,G3020 #1,30P176201200-002A,-,D200575460,20,6,0.522,0.526,0.518,0.337,0.348,0.331,0.185,0.191,0.171,6,2022-04-29 05:20:02,2022-04-29 11:30:05,6.168
21,47,109,G3020 #1,30P176201200-001A,-,D200575470,20,2,0.52,0.522,0.518,0.332,0.334,0.329,0.188,0.189,0.188,2,2022-04-29 18:45:24,2022-04-30 01:04:24,6.317
21,47,109,G3020 #1,30P176201200-001A,-,D200575450,20,6,0.704,1.627,0.517,0.335,0.361,0.328,0.369,1.299,0.164,6,2022-04-29 11:30:14,2022-04-29 18:45:01,7.246
23,49,167,H5-800,181A3402-4,-,Y200179790,40,8,2.597,2.983,2.085,1.98,2.06,1.945,0.617,1.031,0.135,8,2022-04-28 13:49:25,2022-04-29 13:32:24,23.716
23,49,118,HU80A-5X,V5725305020600,A,D200599570,30,1,24.343,24.343,24.343,15.925,15.925,15.925,8.418,8.418,8.418,1,2022-04-28 09:08:19,2022-04-29 10:58:03,25.829
24,50,104,MC18200 #1,182T3101-552A,B,D200617100,30,4,1.364,2.308,0.995,1.094,1.381,0.993,0.27,0.928,0.002,4,2022-04-28 22:56:01,2022-04-29 08:16:11,9.336
24,50,104,MC18200 #1,182T4102-5A,C,D200617010,30,4,1.081,1.326,0.998,1.024,1.064,0.998,0.058,0.262,0.0,7,2022-04-29 08:17:55,2022-04-30 06:05:54,21.8
23,49,114,MP2150,F5724407420101,A,D200604390,10,1,0.38,0.38,0.38,0.324,0.324,0.324,0.057,0.057,0.057,1,2022-04-29 18:07:41,2022-04-29 21:01:16,2.893
23,49,114,MP2150,F5724407420101,A,D200604380,10,1,0.526,0.526,0.526,0.28,0.28,0.28,0.246,0.246,0.246,1,2022-04-29 16:26:27,2022-04-29 18:07:21,1.682
23,49,114,MP2150,F5724403320101,A,D200601890,20,1,2.763,2.763,2.763,1.994,1.994,1.994,0.769,0.769,0.769,1,2022-04-30 02:08:05,2022-04-30 04:42:35,2.575
23,49,114,MP2150,F5724403320101,A,D200601880,20,1,4.51,4.51,4.51,2.055,2.055,2.055,2.455,2.455,2.455,1,2022-04-29 21:02:22,2022-04-30 02:07:51,5.091
